Date,Region,Cases
2020-12-16,Western,0
2020-12-16,Northern,0
2020-12-17,Toronto,59
2020-12-17,Central,2
2020-12-17,Eastern,0
2020-12-17,Western,0
2020-12-17,Northern,1
2020-12-20,Toronto,63
2020-12-20,Central,1
2020-12-20,Eastern,0
2020-12-20,Western,0
2020-12-20,Northern,1
2020-12-21,Toronto,61
2020-12-21,Central,1
2020-12-21,Eastern,0
2020-12-21,Western,0
2020-12-21,Northern,1
2020-12-22,Toronto,53
2020-12-22,Central,1
2020-12-22,Eastern,1
2020-12-22,Western,0
2020-12-22,Northern,1
2020-12-29,Toronto,17
2020-12-29,Central,2
2020-12-29,Eastern,1
2020-12-29,Western,0
2020-12-29,Northern,0
2021-01-03,Toronto,8
2021-01-03,Central,2
2021-01-03,Eastern,0
2021-01-03,Western,0
2021-01-03,Northern,0
2021-01-04,Toronto,5
2021-01-04,Central,2
2021-01-04,Eastern,0
2021-01-04,Western,0
2021-01-04,Northern,0
2021-01-05,Toronto,1
2021-01-05,Central,2
2021-01-05,Eastern,1
2021-01-05,Western,0
2021-01-05,Northern,0
2021-01-06,Toronto,1
2021-01-06,Central,3
2021-01-06,Eastern,1
2021-01-06,Western,0
2021-01-06,Northern,0
2021-01-07,Toronto,1
2021-01-07,Central,2
2021-01-07,Eastern,1
2021-01-07,Western,0
2021-01-07,Northern,0
2021-01-10,Toronto,2
2021-01-10,Central,5
2021-01-10,Eastern,0
2021-01-10,Western,0
2021-01-10,Northern,0
2021-01-11,Toronto,2
2021-01-11,Central,5
2021-01-11,Eastern,0
2021-01-11,Western,0
2021-01-11,Northern,0
2021-01-12,Toronto,2
2021-01-12,Central,6
2021-01-12,Eastern,0
2021-01-12,Western,0
2021-01-12,Northern,0
2021-01-13,Toronto,2
2021-01-13,Central,5
2021-01-13,Eastern,0
2021-01-13,Western,0
2021-01-13,Northern,0
2021-01-14,Toronto,2
2021-01-14,Central,5
2021-01-14,Eastern,0
2021-01-14,Western,0
2021-01-14,Northern,0
